"CountryName","Country Code","Year","Charges for the use of intellectual property, payments (BoP, current US$)","Charges for the use of intellectual property, receipts (BoP, current US$)","High-technology exports (% of manufactured exports)","High-technology exports (current US$)","Patent applications, nonresidents","Patent applications, residents","Research and development expenditure (% of GDP)","Researchers in R&D (per million people)","Scientific and technical journal articles","Technicians in R&D (per million people)","Trademark applications, direct nonresident","Trademark applications, direct resident","Trademarkapplicationstotal"
"Azerbaijan","AZE","2013","0","0","13.4231822260448","71872403","0","156","0.21141","0","481.1","0","4601","1117","5718"
"Azerbaijan","AZE","2015","0","0","2.53386968097242","9446115","0","184","0.22244","0","420.9","0","4095","856","4951"
"Bulgaria","BGR","1989","0","0","0","0","267","63","0","0","0","0","2711","230","2941"
"Central African Republic","CAF","1992","0","0","0","0","0","0","0","0","0","0","0","0","0"
"China","CHN","2014","22613800781.52","676381923.65","25.3722763182791","558599126108","127042","801135","2.02106","1113.07185","393962.7","0","107351","1997058","2104409"
"Cyprus","CYP","1974","0","0","0","0","59","0","0","0","0","0","547","106","653"
"Dominican Republic","DOM","1970","0","0","0","0","110","5","0","0","0","0","880","171","1051"
"Algeria","DZA","2012","137274934.916708","2844580.77121723","0.130478689319292","2028775","781","119","0","0","3063.4","0","3524","2332","5856"
"Fragile and conflict affected situations","FCS","1986","6018618.00827628","3108948.12541467","0","0","0","0","0","0","0","0","0","0","0"
"Fiji","FJI","2008","2448901.09452195","175340.107349698","3.08045567488836","4628058","0","0","0","0","63.3","0","0","0","0"
"United Kingdom","GBR","1998","6652282989.14554","7070738733.64791","28.6815625522104","64898549541","10083","19530","1.57699","2697.05988","0","0","15738","21010","36748"
"Ghana","GHA","2003","0","0","7.38325531438314","7901997","0","0","0","0","145.9","0","0","0","0"
"Gambia, The","GMB","1995","0","0","6.17116881617649","408414","0","0","0","0","0","0","0","0","0"
"Gambia, The","GMB","2003","0","0","1.0774620474893","692","0","0","0","0","30.7","0","291","7","298"
"Haiti","HTI","2001","0","0","0","0","0","0","0","0","0","0","1325","323","1648"
"Haiti","HTI","2010","480000","2456647.71","0","0","0","0","0","0","13.3","0","1365","409","1774"
"IBRD only","IBD","1977","503187930.441729","166073745.579345","0","0","0","0","0","0","0","0","0","0","0"
"IDA only","IDX","1998","59234530.1296781","24523807.1012967","3.03706677782391","0","0","0","0","0","0","0","0","0","0"
"IDA only","IDX","2012","205956730.013996","167876795.716952","4.59758309423197","816634972","0","0","0","0","7619.98794358347","0","0","0","0"
"IDA only","IDX","2013","318663261.587612","130886815.774653","3.33485862875319","0","0","0","0","0","8071.95923881538","0","0","0","0"
"India","IND","2005","671829366.31862","205974583.701422","5.80380305249646","4139238100","19661","4721","0.81118","135.2997","33215.8","92.46314","12361","73308","85669"
"Iran, Islamic Rep.","IRN","1968","0","0","0","0","640","79","0","0","0","0","880","1670","2550"
"Iraq","IRQ","1992","0","0","0","0","25","149","0","0","0","0","0","0","0"
"Israel","ISR","2013","998000000","1006700000","15.6053223942578","9634614000","4984","1201","4.14179","0","11749.8","0","6381","2244","8625"
"Jamaica","JAM","2003","10800000","12000000","0.0480437801188272","369660","41","9","0","0","142.1","0","1010","359","1369"
"Cambodia","KHM","1997","0","0","0","0","0","0","0","0","0","0","1507","42","1549"
"Kiribati","KIR","2013","0","0","0.691640242596472","2648","0","0","0","0","1.1","0","0","0","0"
"Libya","LBY","1979","0","0","0","0","0","0","0","0","0","0","254","1","255"
"Lower middle income","LMC","1974","449999.999906743","0","0","0","6673","1629","0","0","0","0","17033","16499","34925"
"Lower middle income","LMC","1980","131826134.168823","1927944.65306958","0","0","6006","1573","0","0","0","0","0","0","0"
"Morocco","MAR","2004","36739032.9569821","16293674.1787903","10.180174177756","696365089","457","104","0","0","951.6","0","4550","4163","8713"
"Maldives","MDV","2005","0","7506287.90625","0","0","0","0","0","0","3.2","0","0","55","55"
"Mexico","MEX","1967","0","0","0","0","5811","1451","0","0","0","0","0","0","8788"
"Mexico","MEX","1985","142000000","12000000","0","0","3091","590","0","0","0","0","6318","8882","15200"
"Mali","MLI","2005","1080633.9828051","170626.418337648","5.14106653648411","2361153","0","0","0","0","39.7","0","0","0","43"
"Malta","MLT","2007","124981919.65009","298881174.37826","52.4374535625881","1474591983","29","10","0.5485","1220.61348","109.4","662.4061","788","422","1210"
"Middle East & North Africa (excluding high income)","MNA","1978","31260717.8831877","479999.52011568","0","0","3629","261","0","0","0","0","7318","3312","10630"
"Malawi","MWI","1971","0","0","0","0","74","0","0","0","0","0","355","12","367"
"New Caledonia","NCL","2009","2484816.13922904","686888.107439389","6.9663413736556","114918541","0","0","0","0","0","0","0","0","0"
"Netherlands","NLD","2003","3359707667.29921","2930223939.40467","31.3506297542099","50241414283","573","2288","1.80434","2709.46121","19565","1377.3378","0","0","0"
"Panama","PAN","1999","30000000","0","1.36350223666845","1592928","0","0","0.27205","96.9634","0","0","4725","1675","6400"
"Philippines","PHL","2002","236000000","1000000","74.178459319334","23880908253","705","149","0.13738","53.79216","0","0","4740","6281","11021"
"Poland","POL","2008","1773000000","207000000","4.31612121929463","5906529876","290","2488","0.59738","1604.25681","23376.1","189.22148","5420","14707","20127"
"Portugal","PRT","1990","116575032.455154","13518995.0504966","4.1238361864907","543657886","3541","101","0","0","0","0","14050","5060","19110"
"Portugal","PRT","1975","0","0","0","0","1404","72","0","0","0","0","1348","1384","2732"
"Saudi Arabia","SAU","2005","0","0","0.638904923504604","92074686","374","119","0.04233","0","1734","0","0","0","0"
"Senegal","SEN","2005","7374852.97037167","0","8.27094619150637","52824400","0","0","0","0","207.4","0","0","0","0"
"Slovenia","SVN","1992","4900000","3900000","3.33468791955754","191551943","409","188","0","0","0","0","1246","372","1618"
"Togo","TGO","1998","310194.846238426","0","0.592026736146504","207520","0","0","0","0","0","0","0","0","0"
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","1995","1673893106.7792","168566500","7.79865133446299","11477071202","16916","4276","0","0","0","0","104167","183178","293195"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1991","61495810.2049798","4134818.03929226","0","0","1241","682","0","0","0","0","10989","4885","18712"
"Tonga","TON","1975","0","0","0","0","0","0","0","0","0","0","0","0","0"
"World","WLD","1992","27061817538.5241","32582089255.3882","18.2527732952521","0","255200","607545","0","0","0","0","472034","899668","1445448"
"World","WLD","2001","75830344000.9566","91196543418.1297","22.9440455049569","1049021993169","495626","833279","2.08087865621424","0","0","0","752043","1472176","2276807"
"Kosovo","XKX","2011","513882.109574526","20804.2831718884","0","0","0","0","0","0","106.5","0","0","0","0"
"Zimbabwe","ZWE","2007","0","0","3.0918652763625","47624092","0","0","0","0","168.7","0","0","0","0"
"Mozambique","MOZ","2003","0","0","6.89087982136864","6547177","16","0","0","0","24.9","0","1350","197","1547"
"Thailand","THA","1993","426961109.685108","2644844.56812488","20.6533361533395","5444163614","2353","110","0","0","0","0","6273","9190","15463"
"Antigua and Barbuda","ATG","1989","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belgium","BEL","2008","2022946503.28795","1515499626.51209","7.98386184901735","28302042123","133","575","1.92449","3411.62698","14481.3","1461.53451","6690","21848","28538"
"Belize","BLZ","2012","2271626.48515551","0","0","0","51","0","0","0","9","0","872","120","992"
"Botswana","BWA","1999","6400836.95268046","21624.449164461","0","0","0","0","0","0","0","0","0","0","0"
"Germany","DEU","1971","423474020.056744","156379882.202346","0","0","32882","32874","0","0","0","0","3544","15453","18997"
"Denmark","DNK","2002","0","0","22.4563201224077","8313257009","169","1815","2.44191","4758.17173","0","0","6224","3929","10153"
"Algeria","DZA","2007","10547283.0763971","1460420.13764525","0.716136565964244","6607471","765","84","0","0","1405.7","0","2022","0","2022"
"Algeria","DZA","2010","92466206.4246423","2811908.23360763","0.504620348567318","5141641","730","76","0","0","2137.4","0","3188","2070","5258"
"European Union","EUU","1962","0","0","0","0","0","0","0","0","0","0","0","0","123234"
"Faroe Islands","FRO","1994","0","0","1.65493526013584","170223","0","0","0","0","0","0","0","0","0"
"Grenada","GRD","1992","440740.740740741","0","0","0","0","0","0","0","0","0","0","0","0"
"IDA blend","IDB","1967","0","0","0","0","0","0","0","0","0","0","3062","2056","5118"
"Iran, Islamic Rep.","IRN","1996","0","0","0","0","227","288","0","0","0","0","711","5021","5732"
"Kiribati","KIR","2008","0","0","11.6642863669745","137863","0","0","0","0","0","0","0","0","0"
"Kiribati","KIR","1983","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lao PDR","LAO","1991","0","0","0","0","0","0","0","0","0","0","1216","3470","4686"
"Lebanon","LBN","1960","0","0","0","0","0","0","0","0","0","0","925","134","1059"
"Lebanon","LBN","1965","0","0","0","0","118","36","0","0","0","0","1182","281","1463"
"St. Lucia","LCA","2000","1570370.37037037","0","9.49336439009511","427949","0","0","0","0","0","0","476","41","517"
"St. Lucia","LCA","2002","2177777.77777778","0","7.80354489112137","816168","0","0","0","0","0","0","0","0","0"
"Liechtenstein","LIE","2013","0","0","0","0","0","0","0","0","31.3","0","2391","196","2587"